,State_Name,"Mining, quarrying, and oil and gas extraction",All industry total,Percentage share
0,Wyoming,216284268.0,745221067.0,29.02283330108809
1,Alaska,268394413.0,1023582006.0,26.221095273923755
2,Oklahoma,539133979.0,3352655728.0,16.08080348057735
3,North Dakota,117956880.0,843837580.0,13.978623706235032
4,West Virginia,187733716.0,1368648109.0,13.716726364176052
5,Texas,3232167665.0,27747316979.0,11.648577292882772
6,New Mexico,188705683.0,1727439457.0,10.924011387798235
7,Louisiana,377961867.0,4619186093.0,8.182434294491197
8,Montana,47428845.0,816680059.0,5.807518437278263
9,Colorado,288929190.0,5672731644.0,5.093299104067402
10,Nevada,92695774.0,2675830530.0,3.4641870238321855
11,Utah,77147300.0,2587100681.0,2.981998364678255
12,Kentucky,101127607.0,3503260933.0,2.886670702927055
13,Arizona,111405126.0,5451681322.0,2.0435003335655355
14,Arkansas,36205967.0,2144831023.0,1.6880568497819608
15,Alabama,61243251.0,3715380401.0,1.648370944291903
16,Pennsylvania,206734421.0,12712977671.0,1.626168363935609
17,Mississippi,29964193.0,1962813287.0,1.5265941594372343
18,Idaho,17854055.0,1195185639.0,1.4938311185648374
19,Kansas,39891070.0,2768628989.0,1.4408239658867488
20,Ohio,100390992.0,11050585609.0,0.9084676192928447
21,California,344406594.0,43157948812.0,0.7980142788997384
22,Vermont,4160723.0,557328937.0,0.7465470970153484
23,Minnesota,41277377.0,5937112699.0,0.6952432788913108
24,Virginia,31752769.0,4962496978.0,0.6398546768041982
25,Indiana,35259298.0,6047130248.0,0.5830748893107024
26,Missouri,25774658.0,5404601192.0,0.4769021262503544
27,South Dakota,3455597.0,811967087.0,0.4255833832831206
28,Tennessee,23066438.0,5658801050.0,0.4076205859896771
29,Georgia,37227939.0,9270837114.0,0.4015596277037556
30,Michigan,34600006.0,8751221738.0,0.39537343511430056
31,Illinois,52118324.0,14272976406.0,0.36515385801444167
32,Wisconsin,16471991.0,5455278156.0,0.3019459416910436
33,Iowa,9146909.0,3066035288.0,0.29833019325640586
34,South Carolina,9142783.0,3613096100.0,0.25304566352386804
35,North Carolina,20369437.0,8877145312.0,0.22945931697732694
36,Nebraska,4451401.0,1994470847.0,0.2231870677225296
37,Florida,34707342.0,16376263119.0,0.21193688540416764
38,Oregon,7328765.0,3530023236.0,0.20761237278155978
39,Washington,13800309.0,8035995714.0,0.17173116426577528
40,New Hampshire,2249582.0,1363499107.0,0.16498595330579854
41,Hawaii,1728435.0,1247539153.0,0.13854755546898656
42,Maryland,7852011.0,6473409500.0,0.12129637403596977
43,Rhode Island,982089.0,1022247094.0,0.09607158638692104
44,Connecticut,4339609.0,4802038421.0,0.0903701432504636
45,New Jersey,9225869.0,10377287420.0,0.0889044374180011
46,New York,22166575.0,25602041434.0,0.08658127929815146
47,Massachusetts,5348026.0,8634478001.0,0.0619380349267277
48,Maine,657357.0,1093021078.0,0.06014129217003078
49,Delaware,137226.0,1222416300.0,0.011225799263311525
50,District of Columbia,112937.0,2173850243.0,0.0051952520815850885
